Symbol,Series,Face Value,Purpose,From,Ex-date,Multiplier
DHANUS,EQ,10,Bonus 12:5,31-Dec-10,29-Aug-11,3.4
DHFL,EQ,10,Bonus 1:1,31-Dec-10,09-Sep-15,2
DIAPOWER,EQ,10,Bonus 1:3,31-Dec-10,26-Aug-13,1.333333333
DIL,EQ,10,Bonus 1:1,31-Dec-10,27-Oct-22,2
DISHMAN,EQ,2,Bonus 1:1,31-Dec-10,02-May-16,2
DIVISLAB,EQ,2,Bonus 1:1,31-Dec-10,23-Sep-15,2
DIXON,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,18-Mar-21,5
DOLLAR,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,31-Aug-17,5
DPSCLTD,EQ,1,Bonus 22:1 And Face Value Split From Rs.10/- To Re.1/-,31-Dec-10,15-Dec-11,230
DTIL,EQ,10,Bonus 1:2,31-Dec-10,05-Aug-21,1.5
DUCON,EQ,1,Bonus 1:10,31-Dec-10,18-Apr-22,1.1
DWARKESH,EQ,1,Annual General Meeting/Dividend - Rs 10 Per Share/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share (Purpose Revised),31-Dec-10,10-Aug-17,10
DYNPRO,EQ,10,Rights 1:20 @ Premium Rs. 440/-,31-Dec-10,12-May-22,1.004
EASEMYTRIP,EQ,2,Bonus 1:1,31-Dec-10,28-Feb-22,16
EASEMYTRIP,EQ,1,Bonus 3:1,28-Feb-22,21-Nov-22,8
EASUNREYRL,EQ,2,Rights 12:25 @ Premium Rs.57/- Per Equity Share,31-Dec-10,13-Mar-14,1.025
ECLERX,EQ,10,Bonus 1:3,31-Dec-10,17-Dec-15,2
ECLERX,EQ,10,Bonus 1:2,17-Dec-15,21-Sep-22,1.5
EICHERMOT,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,24-Aug-20,10
EIHAHOTELS,EQ,10,Rights 5:9 @ Premium Rs.90/- Per Share,31-Dec-10,11-Sep-12,1.142
EIHOTEL,EQ,2,Rights 5:11 @ Premium Rs.64/- Per Share,31-Dec-10,21-Feb-11,1.15147
EIHOTEL,EQ,2,Rights 8:85 @ Premium Rs 63/-,21-Feb-11,22-Sep-20,1.019
ELFORGE,EQ,10,Issues Price Per Equity Share Is At Par And Ratio Of The Rights Is 3:2 (Three Equity Shares For Every Two Shares Held),31-Dec-10,29-Jun-11,1.227
ELGIEQUIP,EQ,1,Bonus 1:1,31-Dec-10,24-Sep-20,2
EMAMILTD,EQ,1,Bonus 1:2 And Dividend Rs.8/- Per Share,31-Dec-10,26-Jun-13,3
EMAMILTD,EQ,1,Bonus 1:1/Dividend- Rs 7 Per Share,26-Jun-13,21-Jun-18,2
ENGINERSIN,EQ,5,Bonus 1:1,31-Dec-10,30-Dec-16,2
ENTEGRA,EQ,10,Bonus 4:13,31-Dec-10,26-Sep-11,1.307692308
EPL,EQ,2,Bonus 1:1,31-Dec-10,20-Jun-18,2
ESSENTIA,EQ,1,Bonus 2:1,31-Dec-10,03-Feb-22,3.19304
ESSENTIA,EQ,1,Rights 33:13@ Premium Rs 0.80/-,03-Feb-22,04-May-22,1.06435
