Symbol,Series,Face Value,Purpose,Ex-date,Multiplier
INFY,EQ,5,Bonus 1:1,04-Sep-18,2
INSECTICID,EQ,10,Bonus 1:2,16-Apr-15,1.5
INVENTURE,EQ,1,Bonus - 3:1,22-May-12,4
INVENTURE,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,24-Jun-21,10
IOC,EQ,10,Bonus 1:1,18-Oct-16,2
IOC,EQ,10,Bonus 1:1,15-Mar-18,2
IOC,EQ,10,Bonus 1:2,30-Jun-22,1.5
IRCON,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,03-Apr-20,5
IRCON,EQ,2,Bonus 1:1,20-May-21,2
IRCTC,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,28-Oct-21,5
ITC,EQ,1,Bonus 1:2,01-Jul-16,1.5
ITDCEM,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,21-Aug-15,10
IVC,EQ,2,Bonus 1:2,26-Dec-13,1.5
J&KBANK,EQ,1,Face Value Split - From Rs 10/- Per Share To Re 1/- Per Share,04-Sep-14,10
JAMNAAUTO,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,03-Dec-15,2
JAMNAAUTO,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,05-Oct-17,5
JAYAGROGN,EQ,5,Bonus 1:1,01-Aug-17,2
JAYBARMARU,EQ,5,Bonus 1:1,07-Jun-21,2
JBMA,EQ,2,Bonus 1:1 And Face Value Split Rs.10/- To Rs.5/- Per Share,08-Oct-14,4
JINDWORLD,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,26-Dec-17,2
JINDWORLD,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,31-Oct-18,5
JISLJALEQS,EQ,2,Bon 1 Dvr : 20 Eq Shares,08-Nov-11,1.05
JKIL,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,10-Dec-15,2
JKTYRE,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,18-Dec-14,5
JMA,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,14-May-19,5
JMCPROJECT,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,04-Oct-18,5
JMTAUTOLTD,EQ,1,Bonus 5:2,30-Jul-14,3.5
JMTAUTOLTD,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,25-Jun-15,5
JMTAUTOLTD,EQ,1,Face Value Split From Rs 2 To Re 1,21-Sep-16,2
JOCIL,EQ,10,Bonus 1:1,27-Sep-11,2
JSWSTEEL,EQ,1,Fv Splt Frm Rs 10 To Re 1,04-Jan-17,10
JUBLFOOD,EQ,2,Bonus 1:1,21-Jun-18,2
JYOTHYLAB,EQ,1,Annual General Meeting/Dividend Of Rs.2.50 Per Share/ Bonus 1:1,12-Jul-12,2
JYOTHYLAB,EQ,1,Bonus 1:1,28-Jun-18,2
KAJARIACER,EQ,1,Face Value Split From Rs 2 To Re 1,04-Oct-16,2
KANANIIND,EQ,1,Face Value Split From Rs.5/- To Re.1/-,01-Nov-12,5
KANANIIND,EQ,1,Bonus 1:10,01-Feb-13,1.1
KANPRPLA,EQ,10,Bonus 1:2,15-Sep-21,1.5
KANSAINER,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,26-Mar-15,10
KARURVYSYA,EQ,2,Fv Splt Frm Rs 10 To Rs 2,17-Nov-16,5
KARURVYSYA,EQ,2,Bonus 1:10,14-Aug-18,1.1
KBCGLOBAL,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,02-Jul-20,5
KBCGLOBAL,EQ,1,Bonus 4:1/Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,12-Aug-21,10
KELLTONTEC,EQ,5,Bonus 1:1,27-Mar-18,2
KITEX,EQ,1,Bonus 2:5,22-Jun-17,1.4
KKCL,EQ,10,Bonus 4:1,16-Dec-21,5
KNRCON,EQ,2,Fv Splt Frm Rs 10 To Rs 2,13-Dec-16,5
KNRCON,EQ,2,Bonus 1:1,03-Feb-21,2
KOTAKBANK,EQ,5,Bonus 1: 1,08-Jul-15,2
KOTHARIPRO,EQ,10,Bonus 2 : 1,28-Mar-14,3
KOTHARIPRO,EQ,10,Bonus 1:2,05-Jan-16,1.5
KPRMILL,EQ,1,Fv Splt Frm Rs 10 To Rs 5,29-Nov-16,2
KPRMILL,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,24-Sep-21,5
KSCL,EQ,2,Face Value Split From Rs 10/- To Rs 2/-,27-Jan-14,5
KSERASERA,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,30-Mar-15,10
KTIL,EQ,5,Bonus 1:25/ Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,11-Aug-16,2.08
KTKBANK,EQ,10,Bonus 1:10,17-Mar-20,1.1
